CoACD params: {'threshold': 0.4, 'mcts_iterations': 20, 'mcts_nodes': 10, 'preprocess_resolution': 30}
skinned bones with geometry: 80
  [1] J_Bip_C_Hips tris=1272 hulls=6 t=54.93s
  [2] J_Aim_L_UpperLeg tris=240 hulls=2 t=1.67s
  [3] J_Roll_L_UpperLeg tris=162 hulls=1 t=1.18s
  [4] J_Sec_L_TopsUpperLegBack tris=216 hulls=1 t=0.61s
  [5] J_Sec_L_TopsUpperLegFront tris=218 hulls=2 t=0.31s
  [6] J_Sec_L_TopsUpperLegSide tris=12906 hulls=2 t=3.93s
  [7] J_Aim_R_UpperLeg tris=114 hulls=5 t=17.23s
  [8] J_Bip_C_Spine tris=154 hulls=2 t=7.83s
  [9] J_Bip_C_Chest tris=352 hulls=3 t=14.15s
  [10] J_Bip_C_UpperChest tris=280 hulls=5 t=10.60s
  [11] J_Bip_C_Neck tris=190 hulls=4 t=18.09s
  [12] J_Bip_C_Head tris=2402 hulls=8 t=44.91s
  [13] J_Bip_L_Shoulder tris=352 hulls=2 t=5.83s
  [14] J_Aim_L_Shoulder tris=509 hulls=2 t=3.01s
  [15] J_Roll_L_UpperArm tris=82 hulls=4 t=8.21s
  [16] J_Aim_L_TopsUpperArm tris=492 hulls=2 t=6.38s
  [17] J_Sec_L_TopsUpperArmInside tris=352 hulls=1 t=1.59s
  [18] J_Sec_L_TopsUpperArmOutside tris=14 hulls=1 t=0.33s
  [19] J_Bip_L_UpperArm tris=143 hulls=4 t=11.27s
  [20] J_Bip_L_LowerArm tris=251 hulls=2 t=0.72s
  [21] J_Bip_L_Hand tris=396 hulls=2 t=0.82s
  [22] J_Bip_L_Index1 tris=311 hulls=2 t=0.61s
  [23] J_Bip_L_Index2 tris=284 hulls=2 t=0.55s
  [24] J_Bip_L_Index3 tris=84 hulls=4 t=13.23s
  [25] J_Bip_L_Little1 tris=63 hulls=2 t=7.74s
  [26] J_Bip_L_Little2 tris=250 hulls=2 t=0.48s
